还看今朝,瑞根,https://book.qidian.com/info/1011207893,连载中,450100,都市,767200,1599600,1128400
大文豪,上山打老虎额,https://book.qidian.com/info/1009281415,连载中,2833300,历史,491400,2005400,144800
交锋,可大可小,https://book.qidian.com/info/1004829455,连载中,4558900,军事,758600,2391800,388000
重生军工子弟,葫芦村人,https://book.qidian.com/info/1010514176,连载中,1619199,都市,271100,2754200,298000
都市超级医圣,断桥残雪,https://book.qidian.com/info/1004174819,连载中,3060899,都市,1389199,1720200,256800
最佳影星,白色十三号,https://book.qidian.com/info/1009514754,连载中,2336200,都市,613000,2279500,444000
修真四万年,卧牛真人,https://book.qidian.com/info/3439785,连载中,9605800,科幻,1701399,3559900,293200
天唐锦绣,公子許,https://book.qidian.com/info/1004588586,连载中,3591000,历史,682600,3710899,476800
寒门崛起,朱郎才尽,https://book.qidian.com/info/3483546,连载中,1946800,历史,1446200,2914700,224800
重燃,奥尔良烤鲟鱼堡,https://book.qidian.com/info/1010245952,连载中,742200,都市,970400,3495000,412000
校花的贴身高手,鱼人二代,https://book.qidian.com/info/1931432,连载中,14066099,都市,826700,26460900,116800
逍遥梦路,文抄公,https://book.qidian.com/info/1009942824,连载中,2161600,游戏,1011500,3958900,470000
蛊真人,蛊真人,https://book.qidian.com/info/2527417,连载中,6206799,仙侠,2515100,5355200,338400
万界天尊,血红,https://book.qidian.com/info/1005238666,连载中,2953600,玄幻,11661400,13445600,400800
间谍的战争,如水意,https://book.qidian.com/info/1010539872,连载中,1074900,军事,706900,2150900,364000
文化入侵异世界,姐姐的新娘,https://book.qidian.com/info/1006853204,连载中,1489600,科幻,1008000,3232900,552400
超级怪兽工厂,匣中藏剑,https://book.qidian.com/info/1002959239,连载中,2434600,都市,2844100,3402200,48
我要做门阀,要离刺荆轲,https://book.qidian.com/info/1010169943,连载中,1435500,历史,523800,2882200,476000
穷鬼的上下两千年,非玩家角色,https://book.qidian.com/info/1010696881,连载中,718000,历史,498200,3410899,396800
一品道门,第九天命,https://book.qidian.com/info/1008984041,连载中,2339000,仙侠,407500,1794300,274400
灵魂导游,顾大石,https://book.qidian.com/info/1010512995,连载中,1707000,都市,174899,2028600,160400
电影的世界,有梦之人,https://book.qidian.com/info/1009243008,连载中,1318700,科幻,891600,3000600,572800
文娱万岁,我最白,https://book.qidian.com/info/1010438082,连载中,1129500,都市,327500,2897600,403200
寒门枭士,高月,https://book.qidian.com/info/1005276026,连载中,2494500,历史,877400,2141100,324400
动力之王,千年静守,https://book.qidian.com/info/1010709923,连载中,843300,都市,327900,1983000,313200
异世界的美食家,李鸿天,https://book.qidian.com/info/1004073922,连载中,4949400,玄幻,933600,3055299,260400
女帝家的小白脸,袖里箭,https://book.qidian.com/info/1010092001,连载中,1328300,都市,497299,3788600,310800
生于1984,老徐牧羊,https://book.qidian.com/info/1010601896,连载中,1789300,都市,490400,3515400,540000
重生之最强人生,俊秀才,https://book.qidian.com/info/1004074281,连载中,4402200,都市,574200,5925400,296400
天行战记,七十二编,https://book.qidian.com/info/1010875768,连载中,274800,玄幻,172800,629400,148000
轮回乐园,那一只蚊子,https://book.qidian.com/info/1009817672,连载中,1892700,二次元,442900,2159300,384000
欢迎来到BOSS队,李古丁,https://book.qidian.com/info/1010474128,连载中,1411200,科幻,385300,3848900,184800
秦吏,七月新番,https://book.qidian.com/info/1011097497,连载中,686700,历史,476599,3223399,1186800
赘婿,愤怒的香蕉,https://book.qidian.com/info/1979049,连载中,3927200,历史,5227500,20080300,550800
贞观大闲人,贼眉鼠眼,https://book.qidian.com/info/3427715,连载中,3208000,历史,1222200,3246000,144800
超级卡牌系统,黑乎乎的老妖,https://book.qidian.com/info/1004834396,连载中,2517300,游戏,910100,2227000,228000
我的末世基地车,黑暗荔枝,https://book.qidian.com/info/1004832102,连载中,1666500,科幻,500600,1652700,108800
修炼狂潮,傅啸尘,https://book.qidian.com/info/1003630241,连载中,3882600,玄幻,1343800,2911500,169200
纣临,三天两觉,https://book.qidian.com/info/1011085659,连载中,244500,科幻,455500,1047500,236800
位面之纨绔生涯,昨夜大雨,https://book.qidian.com/info/1010256698,连载中,1430700,科幻,330400,2062500,188400
造化之王,猪三不,https://book.qidian.com/info/3200489,连载中,7071300,玄幻,576700,2796900,161600
最强反套路系统,太上布衣,https://book.qidian.com/info/1003899336,连载中,3093600,仙侠,694400,5108800,167600
美利坚财富人生,羞涩的小恶魔,https://book.qidian.com/info/1004935366,连载中,2769800,都市,592600,2569600,503200
大道朝天,猫腻,https://book.qidian.com/info/1010496369,连载中,371000,玄幻,1126600,4988200,632800
难道我是神,熊狼狗,https://book.qidian.com/info/1003786696,连载中,1187900,玄幻,541600,2592200,255600
跑出我人生,丧尸舞,https://book.qidian.com/info/1010371270,连载中,1259200,体育,452900,3258000,365600
第三帝国,华东之雄,https://book.qidian.com/info/1005782534,连载中,3134200,军事,260500,847400,110000
史上最强师兄,八月飞鹰,https://book.qidian.com/info/1001730574,连载中,3883100,玄幻,1920100,5276600,342400
白银霸主,醉虎,https://book.qidian.com/info/1009601645,连载中,1360500,玄幻,1156000,2496200,429600
万古神帝,飞天鱼,https://book.qidian.com/info/3546912,连载中,5744700,玄幻,357000,1448500,104400
随身带个侏罗纪,木鱼和尚,https://book.qidian.com/info/1004141662,连载中,3194000,都市,589600,1069800,133600
大国重工,齐橙,https://book.qidian.com/info/1004151636,连载中,1930800,都市,806500,1705300,109200
铁血德意志,流泪的鱼wyj,https://book.qidian.com/info/1006637633,连载中,3646000,军事,195900,923199,21164
玄界旅行社,高森,https://book.qidian.com/info/1009713135,连载中,1782600,玄幻,135400,1092200,101196
超维术士,牧狐,https://book.qidian.com/info/1004150862,连载中,3063000,玄幻,586700,2026200,318800
都市之国术无双,鱼儿小小,https://book.qidian.com/info/3663825,连载中,4544100,都市,807700,1442500,184400
废土崛起,通吃道人.QD,https://book.qidian.com/info/1003438608,完本,4408100,科幻,1653100,4893800,110396
神道丹尊,孤单地飞,https://book.qidian.com/info/3607314,连载中,9052500,玄幻,295500,912500,90800
综艺之谐星传奇,金印,https://book.qidian.com/info/1006635077,连载中,1361100,都市,230100,1343200,191200
悠闲乡村直播间,名窑,https://book.qidian.com/info/1010807557,连载中,1238500,都市,209300,1242400,204800
诸界末日在线,烟火成城,https://book.qidian.com/info/1010426071,连载中,1134700,科幻,232300,3857200,593600
进化之眼,亚舍罗,https://book.qidian.com/info/1010325796,连载中,1271100,玄幻,189400,2027000,170000
电影世界穿梭门,龙升云霄,https://book.qidian.com/info/1010242566,连载中,1391900,科幻,211700,2098200,191600
临高启明,吹牛者,https://book.qidian.com/info/1262627,连载中,7011900,历史,1272600,4525900,96800
唐朝小闲人,南希北庆,https://book.qidian.com/info/3578389,连载中,7400200,历史,788400,1417900,128000
位面电梯,千翠百恋,https://book.qidian.com/info/1003353824,连载中,5194500,科幻,427000,1907300,164800
至尊剑皇,半步沧桑,https://book.qidian.com/info/3636470,连载中,4469200,玄幻,447299,1357000,130000
德意志崛起之路,终极侧位,https://book.qidian.com/info/3687209,连载中,3985200,历史,365800,1021400,124000
美漫世界霸王轨迹,驿路羁旅,https://book.qidian.com/info/1010693223,连载中,2598200,奇幻,185100,1634500,436000
调教大宋,苍山月,https://book.qidian.com/info/1003631173,完本,2660800,历史,1090300,3100899,118000
朝阳警事,卓牧闲,https://book.qidian.com/info/1010558260,连载中,1118700,都市,386500,1582200,223600
大明文魁,幸福来敲门,https://book.qidian.com/info/3541095,连载中,2431700,历史,708700,1203800,116400
吹神,辰机唐红豆,https://book.qidian.com/info/1011029438,连载中,590100,都市,513700,3733500,421596
恶魔囚笼,颓废龙,https://book.qidian.com/info/3686542,连载中,3343900,游戏,916500,1882600,184000
我被系统托管了,木恒,https://book.qidian.com/info/1010766670,连载中,1146400,科幻,310300,2756400,620800
暴风法神,余云飞,https://book.qidian.com/info/1003441527,连载中,3853200,奇幻,957900,1676800,159200
两界搬运工,石闻,https://book.qidian.com/info/1003713126,连载中,3644700,科幻,529600,2061900,139600
我是瓦尔迪,王大布,https://book.qidian.com/info/1005775611,完本,2236000,体育,370400,1491399,42000
大盗贼,泛舟填词,https://book.qidian.com/info/3434900,连载中,3915200,游戏,916700,2898300,135200
绝命手游,奥比椰,https://book.qidian.com/info/1010318085,连载中,691000,灵异,324700,2067500,385200
基因武道,月中阴,https://book.qidian.com/info/1009329519,连载中,2689400,玄幻,298100,2405500,213200
大宋将门,青史尽成灰,https://book.qidian.com/info/1004992610,完本,3595899,历史,445600,2566500,64800
无疆,小刀锋利,https://book.qidian.com/info/1009265821,连载中,1891000,仙侠,13286300,5254100,163600
重生日本当厨神,千回转,https://book.qidian.com/info/1003797438,连载中,2468200,都市,1423899,2059600,206400
湾区之王,磨砚少年,https://book.qidian.com/info/1010565736,连载中,1606900,体育,388900,1679100,195600
巨星家族,大佑佑,https://book.qidian.com/info/1010670189,连载中,813700,都市,240900,2343200,225600
替天行盗,石章鱼,https://book.qidian.com/info/1004650252,连载中,1402300,历史,588900,1109200,63200
变身之萝莉主播,青棘,https://book.qidian.com/info/1010279627,连载中,981600,二次元,200700,1725400,84400
明星爸爸宝贝妞,沉入太平洋,https://book.qidian.com/info/1010540347,连载中,1080600,都市,260799,1982400,145200
女帝的大内总管,狐不悲,https://book.qidian.com/info/1010860831,连载中,721800,二次元,152300,2249100,263600
莽穿新世界,楚白,https://book.qidian.com/info/1009644207,连载中,1606000,奇幻,234700,656400,109600
电影教师,青城无忌,https://book.qidian.com/info/3607274,连载中,3117500,都市,664100,1722200,156000
