修罗武神,善良的蜜蜂,http://www.17k.com/book/493239.html,2268276,4540297302,9574097
权力巅峰,梦入洪荒,http://www.17k.com/book/633684.html,1085606,257652429,4496811
龙血战神,风青阳,http://www.17k.com/book/391013.html,1043035,620826424,2742954
超级兵王,步千帆,http://www.17k.com/book/108821.html,386141,487280545,2301360
终极教官,梁七少,http://www.17k.com/book/1086778.html,106310,315491644,2188530
混沌剑神,心星逍遥,http://www.17k.com/book/83528.html,462710,403889776,2136390
九星霸体诀,平凡魔术师,http://www.17k.com/book/1398783.html,158985,289500714,1979917
武道至尊,暗夜幽殇,http://www.17k.com/book/153917.html,197515,298495695,1920663
人皇纪,皇甫奇,http://www.17k.com/book/1859126.html,364993,1004277136,1834510
武逆,只是小虾米,http://www.17k.com/book/192453.html,355930,506184448,1593249
元尊,天蚕土豆,http://book.zongheng.com/book/685640.html,52131,111836184,1555378
校园全能高手,安山狐狸,http://www.17k.com/book/89718.html,529002,174367777,1493771
万域之王,逆苍天,http://book.zongheng.com/book/568097.html,228081,251508270,1468576
点道为止,梦入神机,http://book.zongheng.com/book/730066.html,156346,45229964,1460311
妙医鸿途,烟斗老哥,http://book.zongheng.com/book/603738.html,71758,264332671,1443510
圣武星辰,乱世狂刀,http://book.zongheng.com/book/682920.html,83740,129316198,1312911
超品战兵,梁不凡,http://book.zongheng.com/book/512263.html,252831,125814200,1296338
最强逆袭,关中老人,http://book.zongheng.com/book/632434.html,62475,202004726,1202299
大逆之门,知白,http://book.zongheng.com/book/555035.html,116063,224692702,1101150
仕途天骄,江南活水,http://www.17k.com/book/439157.html,89426,70430511,1089378
