userName,roomName,category,fans,roomUrl
老实人伟哥,最细教学——前十决赛圈打法+跑毒,绝地求生,402450,http://open.douyucdn.cn/api/RoomApi/room/weigeTV
这个ID很流弊,【ID】带子双排,绝地求生,450939,http://open.douyucdn.cn/api/RoomApi/room/99039
高冷丑男暖心囧,泰迪囧！见人怼根本不怂！,绝地求生,606300,http://open.douyucdn.cn/api/RoomApi/room/lvyou
AC绅士向,话痨绅：黑暗神庙RETURN！,魔兽世界,115452,http://open.douyucdn.cn/api/RoomApi/room/LLXDKB
可爱的小弱鸡,小弱鸡：60名开打，剑指巅峰,炉石传说,371438,http://open.douyucdn.cn/api/RoomApi/room/xiaoruoji
皮皮锦小朋友,【Jin】才艺表演,守望先锋,10979,http://open.douyucdn.cn/api/RoomApi/room/1457999
李雨潼,精致的人体描边艺术。,绝地求生,99132,http://open.douyucdn.cn/api/RoomApi/room/liyutong
Happy丨疯子,【疯子】绝地求生 打造亚服第一98K,绝地求生,205947,http://open.douyucdn.cn/api/RoomApi/room/111716
赵神猥琐男,我只用赵云上分 战无不胜。,王者荣耀,307859,http://open.douyucdn.cn/api/RoomApi/room/2205764
霸哥来啦,峡谷之巅力战职业高手,英雄联盟,1568652,http://open.douyucdn.cn/api/RoomApi/room/bage
芸3334,火爆3D PK手游,新游中心,27,http://open.douyucdn.cn/api/RoomApi/room/3446676
训练靶场机器人,【MYJIQREN】失踪机靶回归！,守望先锋,98454,http://open.douyucdn.cn/api/RoomApi/room/920348
腹语丶驴叔术,【驴叔课堂】最快进化萨8级一日传说,炉石传说,91744,http://open.douyucdn.cn/api/RoomApi/room/lvshushu
丶守望雨季,『雨季』百强76效率上分~,守望先锋,12289,http://open.douyucdn.cn/api/RoomApi/room/1469290
小可爱的蒲蒲,小熙：当宗师半藏悄悄咪咪进入1000分段,守望先锋,374,http://open.douyucdn.cn/api/RoomApi/room/2714005
zard1991,Zard-菜能不能玩游戏,DOTA2,230288,http://open.douyucdn.cn/api/RoomApi/room/zard
小安丶666,小安：宇宙折磨法，百名冲顶！,炉石传说,109033,http://open.douyucdn.cn/api/RoomApi/room/xiaoan666
蕉蕉咯,段子手：打嗝女主播，爱喝自来水,绝地求生,39122,http://open.douyucdn.cn/api/RoomApi/room/1539116
丨47丨,[47]谋定而动，战术吃鸡,绝地求生,12669,http://open.douyucdn.cn/api/RoomApi/room/646282
星界灬一如既往,星界：看我弄装备,魔兽世界,1952,http://open.douyucdn.cn/api/RoomApi/room/linglu
姬霸黑,此主播除了帅一无是处...,魔兽世界,13742,http://open.douyucdn.cn/api/RoomApi/room/jibahei123
阴欢9,经典！热门！好玩的手游！,新游中心,11,http://open.douyucdn.cn/api/RoomApi/room/3458994
刘贻豪,我的忍者小队吊打五大国,新游中心,16,http://open.douyucdn.cn/api/RoomApi/room/3499589
我叫撸管飞,国服第一风暴诺克！光速血怒！,英雄联盟,2571909,http://open.douyucdn.cn/api/RoomApi/room/luguanfei
王者荣耀亦小钢丶,【阿雪讲堂】国服第一猴子，瞬杀表演开始！,王者荣耀,228332,http://open.douyucdn.cn/api/RoomApi/room/qq296028773
PaparazziS,Papa  真午夜素质提高班,DOTA2,49507,http://open.douyucdn.cn/api/RoomApi/room/paparazzi
南财杀戮秀,快来和海哥学TK杀戮秀啦！！！！！！！！,DOTA2,19439,http://open.douyucdn.cn/api/RoomApi/room/75282
