userName,roomName,category,fans,roomUrl
宇宙无敌聪明白,挑战韩信单排钻石全胜到王者 输一把送街头,王者荣耀,448779,http://www.douyu.com/1811143
寒夜寒夜夜,输一局送一千点券 KPL冠军教练寒夜。,王者荣耀,243294,http://www.douyu.com/jiaolianhany
雷婷丶,最强女木兰，声音好听的小姐姐关注了,王者荣耀,140549,http://www.douyu.com/1144379
往事zr,今天天气，播久一会！,王者荣耀,988980,http://www.douyu.com/2124270
小小青蛙笑i,蛙神：全能王咯！,王者荣耀,735081,http://www.douyu.com/wzrenzhichu
请与逗比同归于尽丶,国服最贱小主播,王者荣耀,86433,http://www.douyu.com/2250040
杭州小肉包嘿嘿嘿,赛季末无敌射手疯狂带人,王者荣耀,47195,http://www.douyu.com/2002708
秋纬,国服最强达摩日常秀,王者荣耀,23618,http://www.douyu.com/2254383
声优夏天,夏天：我肥来了。坦克车队！！,王者荣耀,492630,http://www.douyu.com/74706
King白狐a,最强李白  无敌连胜专场！！！！！！,王者荣耀,202523,http://www.douyu.com/1991931
king安格,安格：无敌小香香 王者局血虐,王者荣耀,320662,http://www.douyu.com/1797491
国服最强诸葛乐,国服最强诸葛亮微信免费带水友,王者荣耀,14123,http://www.douyu.com/2414574
绝世的魔王,震惊！比露娜李白韩信还要秀的英雄居然是,王者荣耀,13300,http://www.douyu.com/2389606
葫芦娃别救爷爷,一人我带四妹上王者，只会中辅的,王者荣耀,90228,http://www.douyu.com/2095925
少年不太冷Rex,王者单排！暴打小朋友！,王者荣耀,81352,http://www.douyu.com/3125893
King我是YF宝宝呀,欢迎来到王者KTV,王者荣耀,15971,http://www.douyu.com/3035727
半臂柯,脚强王者，用脚也能上王者,王者荣耀,17204,http://www.douyu.com/1937174
蛋蛋Oy,蛋蛋：QQ区带粉,王者荣耀,39671,http://www.douyu.com/dandansimida
KPL王者荣耀职业联赛,KPL秋季赛 15号赛事重播,王者荣耀,1386953,http://www.douyu.com/kpl
解说灰灰,灰灰从零单排,王者荣耀,490483,http://www.douyu.com/3391578
右手的梦,右手：露娜带粉，星耀钻石车,王者荣耀,40983,http://www.douyu.com/1824331
狗月亮,12345 带粉五排0-5,王者荣耀,5747,http://www.douyu.com/645396
