userName,roomName,category,fans,roomUrl
当红小猪,┃    小 猪 ： 迷你世界                  ,迷你世界,355,http://www.huya.com/2085037836
小发发,虎牙直播,王者荣耀,8,http://www.huya.com/2099165237
老黑,┊‹G› 老  黑 ‥ 绝地求生                     ┊,绝地求生,1085,http://www.huya.com/25475133
一个字浪,虎牙直播,其他直播,30,http://www.huya.com/2084116284
铭翼,铭翼的直播间,王者荣耀,68,http://www.huya.com/1871144559
小师姐,加我一起玩,王者荣耀,292,http://www.huya.com/1986874604
瓶子欧巴,┃ ‹瓶  子›          王者荣耀 ┃,王者荣耀,339,http://www.huya.com/pz999
锐竞苏瑾,║3749 — 王者荣耀 — 苏  瑾 — 虎牙苏瑾║,王者荣耀,54854,http://www.huya.com/1143644897
陌然,⊱«　«   9  A   »　吃鸡教学 免费上车,绝地求生,53,http://www.huya.com/10161275
芒果魅力-六出花,┊☞六出花☜  【专属房间】┄┄┄┄┄┄┄┄┊1356674138,正当防卫3,448,http://www.huya.com/liuchuhua
猥琐男,卍潇洒走一回卍的直播间,王者荣耀,92,http://www.huya.com/1895574704
皮卡丶,┊   ◤电九钻三◢      子  珣直播厅     ┊,英雄联盟,289,http://www.huya.com/1867791135
美mei败败,G°「等待冠名」 晓麟  ：经典怀旧,经典怀旧,7308,http://www.huya.com/158067
呵呵哒,新人~~~,绝地求生,47,http://www.huya.com/1429097217
小旋风,┊ 「ｘｘ冠名」 小旋风：年度只收大保健，战为正恒┊,球球大作战,134,http://www.huya.com/1964701321
黎明前的琉璃色,┇  G 、 «  李 明 » ┊ CSGO ┊ 招聘+好友     ┇,其他直播,59,http://www.huya.com/1780510212
小泰迪,1404203913yy的1号直播间,王者荣耀,332,http://www.huya.com/1404203913
Shrty-野溪,99的直播间,CF手游,155,http://www.huya.com/2092440083
GYR,┊禄  人 ¨13.00开”《英雄联盟》 电八第一禄人卡特┊,英雄联盟,398,http://www.huya.com/1836801492
荔枝豪,│◗   荔枝豪 　﹕单机游戏　　　│（※亲们别忘了订阅哟√）,质量效应,176,http://www.huya.com/lizhihao520
抑郁的小陌,虎牙直播,宝藏世界,648,http://www.huya.com/1974917904
虎哥,┆ G°«虎  哥»  ┈绝地求生┈   ┆,绝地求生,11,http://www.huya.com/85785719
冬子,丨‹G› «冬  子»  招收各类主播联系VP丨,绝地求生,24,http://www.huya.com/700591033
HL–林卉,┆ « 林  卉 » ··新主播求订阅,星秀,283,http://www.huya.com/2076280408
水哥,┆✈水  哥✈  绝地求生： ＸＸＸＸＸ┊,绝地求生,8,http://www.huya.com/16193329
第一视角,My queen的直播间,王者荣耀,6,http://www.huya.com/1893973385
虎牙老J,│      老 J     ➽    热游主播   │,主机游戏,305,http://www.huya.com/182074714
洛果儿,鹛🔱子的直播间,绝地求生,37,http://www.huya.com/1929786552
迷之醉熊,虎牙直播,球球大作战,20,http://www.huya.com/1197883272
全网最坑,虎牙直播,英雄联盟,14,http://www.huya.com/2172953696
RD热阿妹妹,┆ 「 热  阿 」 爱笑的眼睛：我是天然萌┆,星秀,156432,http://www.huya.com/1817695016
請妳正經點✨,激情战区,刀剑英雄,115,http://www.huya.com/2100068120
凡凡是个爱笑的人,10489-- YGL丶叶凡：英雄联盟,英雄联盟,40,http://www.huya.com/1160736126
初阳,┃« 初　阳 »  单机热游                  ┃,绝地求生,5499,http://www.huya.com/967064839
东北雪地虎,1214742947yy的直播间,斗地主,69,http://www.huya.com/1214742947
树海霸者,┃: Ｇ° 树  海 » 怪物猎人职业教学  :┃,怪物猎人Online,1058,http://www.huya.com/shbz1655
风骚貂蝉,虎牙直播,CF手游,67,http://www.huya.com/2055751439
段锦,┇【斗 战 神】老贰：最精彩的游戏直播       ┇,斗战神,28,http://www.huya.com/228829173
乐姐历险记,2089333529yy的1号直播间,王者荣耀,96,http://www.huya.com/2089333529
夏天º,┆ G°« 夏  天 »   ❤° 王 者 荣 耀  ┆,王者荣耀,4,http://www.huya.com/2103495715
软件课堂,┃┆ 彩　虹：3D手绘神秘女主播             ┆┃,二次元,243,http://www.huya.com/2007302078
丑女游戏日常,┊☞<  丑  女  > LOL小美                      ,绝地求生,14,http://www.huya.com/2097153711
啊啊啊杀来,狗熊,英雄联盟,156,http://www.huya.com/1914227027
我有故事要开始表演,⊱ 故  事 ‥                                ,星际战甲,82,http://www.huya.com/2057306848
尹千奚,尹千奚的直播间,其他手游,2294,http://www.huya.com/1462704325
虎牙辉哥,争锋丶无名的直播间,王者荣耀,16590,http://www.huya.com/1958991686
烂人,时光漫步者,地下城与勇士,4138,http://www.huya.com/849279726
琉璃,┊　(‹ 琉  璃 ›)　　应聘主播＋QQ：582057144,王者荣耀,11494,http://www.huya.com/wzry2017liuli
AzZ丶阿乖,┃┊  阿  乖  ♪　召唤师峡谷可爱小姐姐      ┊┃,英雄联盟,5,http://www.huya.com/2103552924
王路平,┆: ◇« 7 7 7 »  感谢朋友们的支持      ┆,绝地求生,154387,http://www.huya.com/585064026
